"stationid","time","avlbikes"
1,"2017-06-30 10:00:00",5.3
2,"2017-06-30 10:00:00",6.8
3,"2017-06-30 10:00:00",0.5
4,"2017-06-30 10:00:00",1.6
5,"2017-06-30 10:00:00",3.0
6,"2017-06-30 10:00:00",9.8
7,"2017-06-30 10:00:00",8.4
8,"2017-06-30 10:00:00",26.1
9,"2017-06-30 10:00:00",51.9
10,"2017-06-30 10:00:00",26.7
11,"2017-06-30 10:00:00",46.9
12,"2017-06-30 10:00:00",19.0
13,"2017-06-30 10:00:00",6.0
14,"2017-06-30 10:00:00",23.3
15,"2017-06-30 10:00:00",0.2
16,"2017-06-30 10:00:00",6.0
17,"2017-06-30 10:00:00",9.9
18,"2017-06-30 10:00:00",33.0
19,"2017-06-30 10:00:00",16.1
20,"2017-06-30 10:00:00",19.7
21,"2017-06-30 10:00:00",22.7
22,"2017-06-30 10:00:00",17.1
23,"2017-06-30 10:00:00",26.7
24,"2017-06-30 10:00:00",18.2
25,"2017-06-30 10:00:00",3.4
26,"2017-06-30 10:00:00",3.6
27,"2017-06-30 10:00:00",4.7
28,"2017-06-30 10:00:00",7.0
29,"2017-06-30 10:00:00",9.1
30,"2017-06-30 10:00:00",32.8
31,"2017-06-30 10:00:00",3.7
32,"2017-06-30 10:00:00",1.5
33,"2017-06-30 10:00:00",3.3
34,"2017-06-30 10:00:00",1.3
36,"2017-06-30 10:00:00",0.4
37,"2017-06-30 10:00:00",0.5
38,"2017-06-30 10:00:00",1.4
39,"2017-06-30 10:00:00",1.7
40,"2017-06-30 10:00:00",27.4
41,"2017-06-30 10:00:00",3.8
42,"2017-06-30 10:00:00",7.3
43,"2017-06-30 10:00:00",6.3
44,"2017-06-30 10:00:00",12.1
45,"2017-06-30 10:00:00",6.0
46,"2017-06-30 10:00:00",1.0
47,"2017-06-30 10:00:00",7.7
48,"2017-06-30 10:00:00",1.6
50,"2017-06-30 10:00:00",19.0
51,"2017-06-30 10:00:00",7.0
52,"2017-06-30 10:00:00",11.2
53,"2017-06-30 10:00:00",12.3
54,"2017-06-30 10:00:00",15.0
55,"2017-06-30 10:00:00",6.0
56,"2017-06-30 10:00:00",8.8
57,"2017-06-30 10:00:00",0.4
58,"2017-06-30 10:00:00",3.9
60,"2017-06-30 10:00:00",36.3
61,"2017-06-30 10:00:00",1.5
62,"2017-06-30 10:00:00",3.4
63,"2017-06-30 10:00:00",2.0
64,"2017-06-30 10:00:00",3.3
65,"2017-06-30 10:00:00",18.9
66,"2017-06-30 10:00:00",14.4
68,"2017-06-30 10:00:00",3.6
69,"2017-06-30 10:00:00",2.7
70,"2017-06-30 10:00:00",0.5
71,"2017-06-30 10:00:00",5.8
72,"2017-06-30 10:00:00",2.6
