"stationid","time","avlbikes"
1,"2017-06-30 10:00:00",5.3
1,"2017-06-30 11:00:00",3.6
2,"2017-06-30 10:00:00",6.8
2,"2017-06-30 11:00:00",4.9
3,"2017-06-30 10:00:00",0.5
3,"2017-06-30 11:00:00",3.5
4,"2017-06-30 10:00:00",1.6
4,"2017-06-30 11:00:00",2.4
5,"2017-06-30 10:00:00",3.0
5,"2017-06-30 11:00:00",2.6
6,"2017-06-30 10:00:00",9.8
6,"2017-06-30 11:00:00",8.2
7,"2017-06-30 10:00:00",8.4
7,"2017-06-30 11:00:00",6.2
8,"2017-06-30 10:00:00",26.1
8,"2017-06-30 11:00:00",26.3
9,"2017-06-30 10:00:00",51.9
9,"2017-06-30 11:00:00",51.0
10,"2017-06-30 10:00:00",26.7
10,"2017-06-30 11:00:00",26.1
11,"2017-06-30 10:00:00",46.9
11,"2017-06-30 11:00:00",42.2
12,"2017-06-30 10:00:00",19.0
12,"2017-06-30 11:00:00",24.6
13,"2017-06-30 10:00:00",6.0
13,"2017-06-30 11:00:00",6.1
14,"2017-06-30 10:00:00",23.3
14,"2017-06-30 11:00:00",24.7
15,"2017-06-30 10:00:00",0.2
15,"2017-06-30 11:00:00",0.0
16,"2017-06-30 10:00:00",6.0
16,"2017-06-30 11:00:00",4.0
17,"2017-06-30 10:00:00",9.9
17,"2017-06-30 11:00:00",7.0
18,"2017-06-30 10:00:00",33.0
18,"2017-06-30 11:00:00",39.5
19,"2017-06-30 10:00:00",16.1
19,"2017-06-30 11:00:00",18.3
20,"2017-06-30 10:00:00",19.7
20,"2017-06-30 11:00:00",20.1
21,"2017-06-30 10:00:00",22.7
21,"2017-06-30 11:00:00",18.5
22,"2017-06-30 10:00:00",17.1
22,"2017-06-30 11:00:00",19.0
23,"2017-06-30 10:00:00",26.7
23,"2017-06-30 11:00:00",21.5
24,"2017-06-30 10:00:00",18.2
24,"2017-06-30 11:00:00",20.4
25,"2017-06-30 10:00:00",3.4
25,"2017-06-30 11:00:00",4.7
26,"2017-06-30 10:00:00",3.6
26,"2017-06-30 11:00:00",5.9
27,"2017-06-30 10:00:00",4.7
27,"2017-06-30 11:00:00",4.8
28,"2017-06-30 10:00:00",7.0
28,"2017-06-30 11:00:00",1.7
29,"2017-06-30 10:00:00",9.1
29,"2017-06-30 11:00:00",4.7
30,"2017-06-30 10:00:00",32.8
30,"2017-06-30 11:00:00",31.6
31,"2017-06-30 10:00:00",3.7
31,"2017-06-30 11:00:00",2.3
32,"2017-06-30 10:00:00",1.5
32,"2017-06-30 11:00:00",1.3
33,"2017-06-30 10:00:00",3.3
33,"2017-06-30 11:00:00",4.0
34,"2017-06-30 10:00:00",1.3
34,"2017-06-30 11:00:00",3.3
36,"2017-06-30 10:00:00",0.4
36,"2017-06-30 11:00:00",5.7
37,"2017-06-30 10:00:00",0.5
37,"2017-06-30 11:00:00",0.2
38,"2017-06-30 10:00:00",1.4
38,"2017-06-30 11:00:00",0.8
39,"2017-06-30 10:00:00",1.7
39,"2017-06-30 11:00:00",0.6
40,"2017-06-30 10:00:00",27.4
40,"2017-06-30 11:00:00",27.0
41,"2017-06-30 10:00:00",3.8
41,"2017-06-30 11:00:00",5.9
42,"2017-06-30 10:00:00",7.3
42,"2017-06-30 11:00:00",7.6
43,"2017-06-30 10:00:00",6.3
43,"2017-06-30 11:00:00",7.0
44,"2017-06-30 10:00:00",12.1
44,"2017-06-30 11:00:00",20.5
45,"2017-06-30 10:00:00",6.0
45,"2017-06-30 11:00:00",6.9
46,"2017-06-30 10:00:00",1.0
46,"2017-06-30 11:00:00",1.9
47,"2017-06-30 10:00:00",7.7
47,"2017-06-30 11:00:00",11.6
48,"2017-06-30 10:00:00",1.6
48,"2017-06-30 11:00:00",2.4
50,"2017-06-30 10:00:00",19.0
50,"2017-06-30 11:00:00",18.3
51,"2017-06-30 10:00:00",7.0
51,"2017-06-30 11:00:00",6.6
52,"2017-06-30 10:00:00",11.2
52,"2017-06-30 11:00:00",10.8
53,"2017-06-30 10:00:00",12.3
53,"2017-06-30 11:00:00",15.0
54,"2017-06-30 10:00:00",15.0
